"DATE","LAT","LON","SST"
2016-08-02T02:44:59.000Z,   6.02,  99.98,  30.64
2016-08-03T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-08-04T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-08-05T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-08-06T02:49:59.000Z,   6.02,  99.98,  32.20
2016-08-07T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-08-08T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-08-09T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-08-10T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-08-11T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-08-12T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-08-13T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-08-14T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-08-15T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-08-16T02:55:00.000Z,   6.02,  99.98, -32767.00
2016-08-17T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-08-18T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-08-19T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-08-20T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-08-21T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-08-22T02:50:00.000Z,   6.02,  99.98,  30.60
2016-08-23T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-08-24T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-08-25T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-08-26T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-08-27T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-08-28T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-08-29T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-08-30T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-08-31T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-09-01T02:55:00.000Z,   6.02,  99.98, -32767.00
2016-09-02T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-09-03T02:45:00.000Z,   6.02,  99.98, -32767.00
2016-09-04T02:20:00.000Z,   6.02,  99.98, -32767.00
2016-09-05T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-09-06T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-09-07T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-09-08T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-09-09T02:39:59.000Z,   6.02,  99.98,  31.58
2016-09-10T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-09-11T02:24:59.000Z,   6.02,  99.98,  30.74
2016-09-12T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-09-13T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-09-14T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-09-15T02:59:59.000Z,   6.02,  99.98,  31.04
2016-09-16T02:44:59.000Z,   6.02,  99.98,  32.32
2016-09-17T02:55:00.000Z,   6.02,  99.98, -32767.00
2016-09-18T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-09-19T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-09-20T02:20:00.000Z,   6.02,  99.98, -32767.00
2016-09-21T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-09-22T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-09-23T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-09-24T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-09-25T02:40:00.000Z,   6.02,  99.98,  30.69
2016-09-26T02:44:59.000Z,   6.02,  99.98,  30.79
2016-09-27T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-09-28T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-09-29T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-09-30T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-10-01T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-02T02:44:59.000Z,   6.02,  99.98,  31.00
2016-10-03T02:55:00.000Z,   6.02,  99.98,  29.94
2016-10-04T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-10-05T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-10-06T02:20:00.000Z,   6.02,  99.98, -32767.00
2016-10-07T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-10-08T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-09T02:24:59.000Z,   6.02,  99.98,  30.07
2016-10-10T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-11T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-10-12T02:49:59.000Z,   6.02,  99.98,  29.97
2016-10-13T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-10-14T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-10-15T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-10-16T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-10-17T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-18T02:20:00.000Z,   6.02,  99.98, -32767.00
2016-10-19T02:55:00.000Z,   6.02,  99.98, -32767.00
2016-10-20T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-10-21T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-10-22T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-10-23T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-10-24T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-25T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-10-26T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-10-27T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-10-28T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-10-29T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-10-30T02:39:59.000Z,   6.02,  99.98,  29.89
2016-10-31T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-11-01T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-11-02T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-11-03T02:20:00.000Z,   6.02,  99.98,  30.72
2016-11-04T02:55:00.000Z,   6.02,  99.98,  29.30
2016-11-05T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-11-06T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-11-07T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-11-08T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-11-09T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-11-10T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-11-11T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-11-12T02:15:00.000Z,   6.02,  99.98,  30.10
2016-11-13T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-11-14T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-11-15T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-11-16T02:05:00.000Z,   6.02,  99.98, -32767.00
2016-11-17T02:30:00.000Z,   6.02,  99.98, -32767.00
2016-11-18T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-11-19T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-11-20T02:55:00.000Z,   6.02,  99.98, -32767.00
2016-11-21T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-11-22T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-11-23T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-11-24T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-11-25T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-11-26T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-11-27T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-11-28T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-11-29T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-11-30T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-12-01T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-12-02T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-12-03T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-12-04T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-12-05T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-12-06T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-12-07T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-12-08T02:44:59.000Z,   6.02,  99.98,  30.19
2016-12-09T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-12-10T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-12-11T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-12-12T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-12-13T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-12-14T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-12-15T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-12-16T02:09:59.000Z,   6.02,  99.98,  29.78
2016-12-17T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-12-18T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-12-19T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-12-20T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-12-21T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-12-22T02:54:59.000Z,   6.02,  99.98,  29.33
2016-12-23T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-12-24T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-12-25T02:05:00.000Z,   6.02,  99.98, -32767.00
2016-12-26T02:35:00.000Z,   6.02,  99.98, -32767.00
2016-12-27T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-12-28T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-12-29T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-12-30T02:14:59.000Z,   6.02,  99.98, -32767.00
